Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_4096_387_13696,Gemm_Rocblas_1140853557,0.642204
GemmTunableOp_Half_TN,tn_4096_347_4096,Gemm_Rocblas_1140853557,0.141026
GemmTunableOp_Half_TN,tn_4096_198_4096,Gemm_Rocblas_1140853632,0.126304
GemmTunableOp_Half_TN,tn_4096_359_13696,Gemm_Rocblas_1140853550,0.477463
GemmTunableOp_Half_TN,tn_4096_363_13696,Gemm_Rocblas_1140853550,0.496746
GemmTunableOp_Half_TN,tn_151552_175_4096,Gemm_Rocblas_1140853619,3.79071
GemmTunableOp_Half_TN,tn_4096_47_4096,Gemm_Rocblas_1140853651,0.043951
GemmTunableOp_Half_TN,tn_4096_77_13696,Gemm_Hipblaslt_TN_148168,0.213707
GemmTunableOp_Half_TN,tn_4096_318_4096,Gemm_Rocblas_1140853557,0.137314
GemmTunableOp_Half_TN,tn_27392_16384_4096,Gemm_Rocblas_1140853644,50.4664
GemmTunableOp_Half_TN,tn_4096_622_4096,Gemm_Rocblas_1140853629,0.286997
GemmTunableOp_Half_TN,tn_4096_358_13696,Gemm_Rocblas_1140853550,0.490984
GemmTunableOp_Half_TN,tn_151552_195_4096,Gemm_Rocblas_1140853638,4.15392
GemmTunableOp_Half_TN,tn_27392_452_4096,Default,1.60867
GemmTunableOp_Half_TN,tn_4096_60_13696,Gemm_Rocblas_1140853593,0.197524
GemmTunableOp_Half_TN,tn_151552_104_4096,Gemm_Rocblas_1140853645,2.42908
GemmTunableOp_Half_TN,tn_4096_399_13696,Gemm_Rocblas_1140853557,0.641443
GemmTunableOp_Half_TN,tn_4096_683_13696,Gemm_Rocblas_1140853576,0.815558
GemmTunableOp_Half_TN,tn_27392_335_4096,Default,1.13645
GemmTunableOp_Half_TN,tn_4096_431_13696,Gemm_Rocblas_1140853557,0.611764
GemmTunableOp_Half_TN,tn_4096_444_13696,Gemm_Rocblas_1140853557,0.622667
GemmTunableOp_Half_TN,tn_4096_487_4096,Gemm_Rocblas_1140853557,0.219099
GemmTunableOp_Half_TN,tn_27392_347_4096,Default,1.13511
GemmTunableOp_Half_TN,tn_27392_138_4096,Gemm_Rocblas_1140853628,0.587566
GemmTunableOp_Half_TN,tn_4096_496_4096,Gemm_Rocblas_1140853587,0.223788
GemmTunableOp_Half_TN,tn_4096_545_13696,Gemm_Rocblas_1140853545,0.836254
GemmTunableOp_Half_TN,tn_27392_11_4096,Gemm_Rocblas_1140853614,0.332337
GemmTunableOp_Half_TN,tn_27392_341_4096,Default,1.11212
GemmTunableOp_Half_TN,tn_4096_377_4096,Gemm_Rocblas_1140853587,0.141851
GemmTunableOp_Half_TN,tn_27392_189_4096,Gemm_Rocblas_1140853645,0.673138
GemmTunableOp_Half_TN,tn_4096_309_13696,Gemm_Rocblas_1140853550,0.497698
GemmTunableOp_Half_TN,tn_4096_6_4096,Gemm_Rocblas_1140853611,0.0336312
GemmTunableOp_Half_TN,tn_4096_323_13696,Gemm_Rocblas_1140853550,0.490547
